"Target","Slope","Std_Error","t_stat","p_value","R_squared"
"Entel’s Data Centres (Chile)",2.38509587958308,0.456778465981617,5.22155937114397,0.000103403060567381,0.645093747411619
"Entel’s Data Centre (Peru)",2.38509587958308,0.456778465981617,5.22155937114397,0.000103403060567381,0.645093747411619
"Switch Datacenters’ AMS1 Data Centre (Netherlands)",1.62947193184121,0.174046518041682,9.36227825856864,6.81595330846757e-08,0.845637703445047
"MainOne Cable Company",1.62654922454339,0.249956472445307,6.50732989080447,9.90349052654437e-06,0.738426881829408
"BCE (Bell Canada) – 13 Data Centres",0.881188859295042,0.333774545469363,2.64007208235694,0.0178264348728917,0.303438680310778
"Packet Host",0.68217694095007,0.128883862590039,5.29295853833911,9.0248931303074e-05,0.651287760151252
"GPX India",0.537845045661638,0.3534532719845,1.52168642446526,0.146470537813102,0.119879165905475
"Verizon Data Centres (29 Sites)",0.3580130371126,0.133020341310879,2.69141571570542,0.0167444637963986,0.325652320088382
"ancotel",0.35316270843972,0.10621091943201,3.32510734610291,0.00500585788425905,0.441259152963751
"Metronode (Australia)",0.172929029589956,0.124917304726674,1.38434806905524,0.189555269195868,0.128477183582463
"Zenium Technology Partners’ Istanbul Data Centre Operations",0.0750634055893,0.1848685773781,0.406036583684947,0.690449044546291,0.0108715573532103
"Nimbo",-0.0511069712431575,0.130114790557306,-0.392783718317162,0.700394779470387,0.0108998168565759
"Digital Realty’s Paris Data Centre",-0.106463888670951,0.0609856207883548,-1.74572116008172,0.0989048227226905,0.152015758974347
"Asia Tone",-0.1271978324108,0.0864053366590773,-1.47210620696583,0.160388988296166,0.119286902151281
"ALOG Data Centers of Brazil",-0.221423862609703,0.0299998104965406,-7.38084204349344,2.28854925511369e-06,0.784100682811947
"Axtel’s 3 Data Centres",-0.257097273571828,0.125896221413677,-2.04213653662442,0.0591290003428084,0.217540514644933
"TelecityGroup",-0.314322150345388,0.0868615734709693,-3.618655957809,0.00252711535354906,0.466090916974687
"Infomart Dallas (from ASB Capital)",-0.320624807606554,0.179863985035557,-1.78259592960298,0.0963422822790388,0.184987386068015
"ICT-Center",-0.435094901244432,0.128590125819182,-3.38357940372688,0.00445609890574894,0.449871712823407
"Itconic (Spain/Portugal)",-1.06289522924042,0.195106552288177,-5.44776798510846,6.73443930372083e-05,0.664265613855212
"BT Group’s Data Centre Business (Ireland)",-2.04062914510733,0.473063527150752,-4.31364716996463,0.000714436301371675,0.570651607334598
